S.No,text,Label
104,Manchu Laxmi lo andam ekada kanipistunde raa babu .dabbu unte stone kuda diamond laga kanipistunde,hate
105,"Meru devudu anna,life long meru healthy ga undalani devudu ki pratistunna",non-hate
106,Samba shivudu great humanity person,non-hate
107,Wow ..real journalist mallanna gariki hattsoff...melaga andaru journalists vuntey asalu corruption cheyadaniki kuda bhayapadtaru anna...,non-hate
108,konchem odd ga behave cheyadam kadandi.. .pitchandi edi..,hate
109,Eme thagi matladthundemo,hate
110,"Andhra lo Roads veyandi babu koncham. Accidents avthunnai, Vehicles anni damage avthunnai.. Krishna and West Godavari Roads aithey mari worst",hate
111,Youtube vedios konni follow ayyedhanni tharwatha BB house lo koncham negitive feel ayya ippudu chustunte badha anipistundhi very good dancer All the Best for your future Shanmukh 💐,non-hate
112,Prajala samasyala gurinchi okaru kuda matladaru kadha ..nice ...,hate
113,Ayithe life politician kavali ra Babu.,non-hate
114,Jagan paapam pande rojulu dhaggara paduthunnayi ; vasthunnayi vasthunnayi manchi rojulu vasthunnayi.,hate
115,"Idemi daridramu ra Anna ? Assalu bharincha leka potunnamu. Veellaku emaina buddhi gnanamu vunda? Vella IQ enta. Mott Amur family kalipi chusina, 100 daatadi emo.",hate
116,Adhikaram vunte thuglak gadu emaina chesasthadu,hate
117,agu gadi debbaku reddys ni jobslo evaru petukoru kulanike ibandi padutumndi,hate
118,Chi maarandi e trolls chusaina public feeling telusukoni masalukondi,hate
119,Nijam ayyina reddlu tdp ki support ga undali,non-hate
120,Me Vally telagana Eroju Ela vundhi sir MA Andra ki kuda jagan lanty yadhava kakundha melanty ledars kavali sir great kcr and ktr,hate
121,Mata tadabada kunda clear ga ktr sir matalu super,non-hate
122,Telangana ki manchi rojulu vasthunai... ,non-hate
123,Big boss lo he felt lonely...a emotion lo siri ne hug cheskunadu..not with bad intention...hope Deepthi understands him..his smile nd eyes both r filled with pain...,non-hate
124,meru superr andhra gurchince koncham careing im haapy for that keep supporting,non-hate
125,Partial dharidrsm voddhu sir,hate
126,Okka party lo unte neevu correct.change aite ilane untundi,hate
127,Ravi teja.. the man behind those wonderful memes ..#Raviteja anna ki oka Oooooo...,non-hate
128,Ycp chappina matalu vinte mosapotaru jagrtta,hate
129,Vidipoyaru ana pain feel una navvuthunadu shannu,non-hate
130,"Ippudu ee vedio choostey, pichha comedy ga untundhi,,,comedy cheddam anukoni comedy aipoyava narsiredyyy,,,,yadaki poyavayyaa",hate
131,"Janame kurcho pettaru, mimmalni tharimi kottaru",hate
132,Ramcharan garu mari intha introvert ha devuda decent ga unnadu Fidha Ntr rajamouli suma garu next level super,non-hate
133,CBN maryada poorvakanga mic isthe praja samasyalu thelusukokunda mp garu dhurviniyogam chesaru,hate
134,Jokulu vesukoni navukunnaru... Eppudu andaru navutunnaru ..... Chusi.,non-hate
135,Vedu evavu overaction chesthunnadu child labour aa,hate
136,Pilla pu AAthulu,hate
137,velli allurjun madda guudu,hate
138,Super sir mee lanti vallu undali si,non-hate
139,Ah group lo nannu add chaindi mawa,non-hate
140,Super sir ila andharu alochinchi respectful ga move ithey society bagupadthadhi,non-hate
141,Great sir me behavior ku na police vallu andharu me laga unte friendly policing,non-hate
142,Nibba ki phone istey ela untundi,hate
143,"Super ga vundhi drama commen people ni sir ani kuda antara o my god, this is team work guys.",non-hate
144,Nagavalli died because of this video,hate
145,Prank lu chesukuntunaru e police gallu.... Public ni mosam cheyadaniki,hate
146,Aatla vastai Anna niku enni telivi tetalu oka cinema thi anna,non-hate
147,Vera level sinking sir comedy super,non-hate
148,Police drama is this...janaalanu andhulo specially night time sir ani respect iche antha seen ledu...,hate
149,Okkokkadiki 9 months pregnancy vundhi police'laki,hate
150,Acting chaalabaagundi mi timing kanivandi performance kanivandi dialogue delivery gaani  nice kipet up all the best you have a great future as an artist,non-hate
151,Anna nuvvu chavaku యిది చాలా అన్యయం.suspense అదిరిపోయింది.next episode వేగంగా pettanna.,hate
152,Ee movie kosam. Wait చేసేవాళ్ళు . ..like vesukondiii....,non-hate
153,ఈ పాట కన్న .. మీ మాటే బాగుంది.....,non-hate
154,"Character of the episode award goes to- ""1A master"" అంతే కధమ్మా రేయ్",non-hate
155,Hope that there is no ending in madhu character.. waiting for next episode in telugu with madhu again.. ... మధు పోకూడదమ్మారేయ్,non-hate
156,దేవి అడిగే ప్రశ్నలకు గట్టిగా దింపావూ గా (సమాధానాలు) విజయ్...,hate
157,విజయ్ ఇంత లాజికల్ ఆన్సర్స్ ఇస్తాడని అస్సలు expect చేయలే........గ్రేట్,non-hate
158,ఏర్రిపప్పా అవ్వడం కోసమే పుట్టిందే tv 9,hate
159,Tv9 ki dula thirchestadu rgv ,hate
160,"మనం విప్పుకు తిరుగుతూ, చుట్టూ ఉన్న వాళ్ళన్ని కప్పుకో మన్నట్టుంది.",hate
161,వచ్చిందయ్యా మహా పతివ్రత.... అనసూయ అంటేనే నిలువెల్లా బూతు..... ఈమె చెబుతుంది నీతులు... తూ..... సిగ్గుమాలిన జన్మ,hate
162,"Anasuya, నువ్వు జబర్దస్త్ షో లో చేసేవి ఏమిటి, వేదాలు వల్లిస్తున్నవా! అసలు బూతులు నీ షో నుండే మొదలు పెట్టారు. ",hate
163,boothu ki care of address ayina anasuya garu boothu gurinchi maatlaaduthundhi... wah wah!,hate
164,Video super ayya editing super anthey ,non-hate
165,Edhi matharam jabardasth lo expose cheychu adult comedy Cheyachu Ari fikudhi,hate
166,Assalu monna vachina Khiladi cinima lo anusuya matram hot hot ga ichi padesindi..anthe,non-hate
167,"Bhuthulu gurinchi, double meanings gurinchi nuv matladodhu anusuya plz",hate
168,RGV గారు ......ఈసారి మూర్తి గారి character పెట్టండి మీ సినిమా లో.....,non-hate
169,Fan రెక్కలు విరిగే రోజు దగ్గరలోనే ఉంది,hate
170,Meeku ichindhi mamulu post kadhu....svbc chairman ante manchi post...meeru daani missuse chesukunnaru...jagan gurinchi pk gari gurinchi kadhu.....meeru avakaasamu miss use chesukunnaru....,hate
171,జఫ్ఫా తిమింగలం 420 గాడికి RiP ఎప్పుడు చెపుతారు,hate
172,Pilichi pettinchukuntaru ga....TV9 ki eemadhya sarada ayindi...,hate
173,E tv 9 ki burra poyandhi,hate
174,"నాగబాబు సెలక్షన్ సూపర్, గల్లీ బాయ్స్ అదుర్స్",non-hate
175,Ñeela oka 1hr kuda undalem sir jai rgv,non-hate
176,నీ judgement కరెక్ట్ గా ఉంటాది బ్రో,non-hate
177,Srikanth reddy కచ్చితంగా తప్పు. ఆ తప్పు చగురించి కళ్యాణి గారు చెప్పడం ఇంకా తప్పు,hate
178,nag sir said about natraj master is absolutely correct ఆడియన్స్ మాస్టర్ గురించి ఏమనుకుంటున్నారో అదే చెప్పారు... super nag sir,non-hate
179,"Akhil, Shiva good players.. చాలా బాగా ఆడుతున్నారు..i like Akhil and shiva",non-hate
180,Vedhavalu Vedhavalu anni chotla vunnaru..inka janalani yedipinchadam tappa,hate
181,టీవీ ఫైవ్ ఎప్పుడు తప్పుడు ప్రచారమే,hate
182,Byredyy cheyppadu kada ra nenu party maredu ledu ani Mee moddalo gola yanti raa,hate
183,Vadu em matladuthunnado eanna artham aithe. Kanisam telugu translator ni pettukovachuga. Telugu bashaki respect ivvaru BJP vallu,hate
184,Anna nee comedy Expressions baguntai,non-hate
185,Bro ni slang ee neeku plus point ...... Manchi humour undi neelo.... Elane regular ga videos chestu undu .... 100k pakka...,non-hate
186,ఇప్పటికైనా ap ప్రజలు బుద్ధి తెచ్చుకోవాలి,hate
187,సిగ్గు లేకుండా తిరుగుతున్నారు ఎమ్ ఆబివుద్ది చేశారని తిరురుగుతున్నారు,hate
188,మళ్ళీ వైసీపీ గెలిస్తే ఆంధ్రప్రదేశ్ ప్రజలు అడుక్కు తినాలి నూటికి 200% ఇది నిజం,hate
189,"MLA ticket కోసం, పదవుల కోసమే ఈ గడప గడపకు ప్రభుత్వ యాత్ర, పాపం CM గారి హామీలకి వీళ్ళు బలి..",non-hate
190,"మెట్టు theskoni kottandi, okka jobs ledu, devlopmet ledu, asalu డబ్బులు veyydam votes kosam pedda scam idi",hate
191,మహేష్ బాబు ఈ రేంజ్ లో నవ్వడం ఇప్పటి వరకు ఇదే మొదటి సారి. Big thanks to Sathi anna.,non-hate
192,కొంచెంకూడ హీరో అనే పొగరు లేదు గ్రేట్ సార్ మీరు,non-hate
193,"AVATAR ఒక అద్భుత ప్రపంచం. దీని డైరెక్టర్ James Cameron అంతకన్నా అద్భుతం. ఆయన ideas కి, creativity కి",non-hate
194,ఉమ అన్న అంటే కడుపు మంట కేవలం వెస్ట్ candate వి నువ్వు,hate
195,Dīnam'ma jīvitaṁ..... Okka postive kāmeṇṭ kanīsaṁ cūdāṁ ani vetikina dorakaṭlēdu kadā anvēṣa.....,hate
196,"మీరు కూల్ గా వీడియోస్ చెసుకొండి
ఇ టెంక్సన్స్ వదిలేయండి",hate
197,Ravi అన్న అన్నది నిజమే అని ఈపాటికే నటరాజ్ మాస్టర్ కి అర్థమైపోయింది...నటరాజ్ మాస్టర్ ఇప్పటికైనా మనిషి గ మారండి...,hate
198,ఇంద్రజ గారి ఫాన్స్ ప్రోమోలో ఇంద్రజ గారు సూపర్బ్ టైమింగ్ ,non-hate
199,Ravi prakash vunnappudu. Chaala mandhi House lloki. Veylli. Vaalla bed rooms varaku Veyllaru. Chaala mandhi. Jevitaalato. TV9 lanja channel Ani. Chaala mandhi. Cheypparu,hate
200,Matter divert chestundii ame ra hamara Prasad ga bura leda kanisam legal ga ela adoption chesukovali ani gutleee,hate
201,​BJP lo seat kosam baga chesav le stunt,hate
202,RGV చెప్పేది చాలా కరెక్ట్ గా ఉంది,non-hate
203,ప్రతి ఒక ఇంటర్వ్యూ లో చాలా కూల్ గా మాట్లాడతారు. నిజాలు నిర్భయంగా చెబుతాడు. ఎవడన్నా ఏమన్నా అనుకొని నేను చెప్పేది చెప్తా అనుకునే వ్యక్తి RGV...,non-hate
204,"Theatre kellina badhitula ga ma badhalu panchukunnam anthe. Boothulu tittadam, family ni involve cheyadam ee panchayati lu oddu amma. Happy ga undandi",hate
205,Annnaaaaa...... Ekkadikellav anna innirojulu.. Pandemic time lo ni postmortem videos tho na stress antha pogattav especially with Saleem review...,non-hate
206,arey tv9 nuv పెట్టిన పోల్ కి ఏమైనా సంబంధం ఉందా రా,hate
207,సంయుక్త గారి యక్కటింగ్ సూపర్  సినిమా సూపర్ ,non-hate
208,Ippudu nuvvu cheppindi yem pikutanani news chesataru,hate
209,Ni thumbnail jathini thenga,hate
210,Puri sir me flop movies kuda vere directors teese hit movies kante manchi philosophical ga entertaining ga untai. Meetho bagu paddollu mimmalni marchipoyi undicchu sir. But memu kadu. Love you sir. E movie tho Vijay manchi super ⭐️ avvalani korukuntunna 💝💝💝,non-hate
211,Puri raasina dialogues mahesh chepthea excellent ga set avthai,non-hate
212,Endhukura ayya pichi pichi thumbnails pedtharu???,hate
213,u don't worry bro aa kalyani ki dhula Patti idhantha chesthundhi,hate
214,"​baga chepparu..maha news is waste news..only bjp ki, tdp ki support vallu",hate
215,​pora howley,hate
216,కరెక్ట్ గా మాట్లాడుతున్నావ్ రా శ్రీకాంత్,non-hate
217,"jai kumar next nee amma nee ,sisters nee andharni petti prank thesthadu vadu wait",hate
218,inkaa saavaledhu le vaadu baane sacchaadu yedhavakanipisthoone vundhigaa,hate
219,​vaadikasalu em maatlaaduthunnaado clarity ne ledhu malli maatlaaduthunnaadu yedhava,hate
220,​gayathri medam super cheppinav good,non-hate
221,Open Heart with RK కి తెలంగాణ గవర్నర్ తమిళ సై గారు రావడం చాలా ఆనందంగా ఉంది వేటింగ్ ఫర్ ఎపిసోడ్,non-hate
222,రాధాకృష్ణ గారు చాలా సంవత్సరాల తర్వాత మీరు సంతోషంగా కనిపించారు శుభాభినందనలు మీకు గౌరవ గవర్నర్ మేడంగారు నవ్వుతూనే నిప్పులు చెరిగారు,non-hate
223,చాలా ఈజీగా మాట్లాడటం బాగుంది her excelency గవర్నర్ madam,non-hate
224,Meeku governer post ivvadame waste,hate
225,"Meru enni kathalu padda kcr 100% next cm of telangana, cheap interviews with cheap abn rada krishna",hate
226,Asal mamulga ledu ...thop... awesome,non-hate
227,ah lobo ni marchandi ra babu,hate
228,నా జీవితం లో చూసిన అద్భుతమైన వీడియో ఇదే,non-hate
229,Ending naku tears vachai  bro. Harsh sai real hero. God bless u brother.,non-hate
230,Intentionally geliki emina serious ite news chedamani...,hate
231,social media Parma chetha media valu asalu vishayalu telsikounda matladam Manchi Kadu,hate
232,news valu pen undani rayatam manchidi Kadu,hate
233,Evadentha echaru neeku dabbulu bewerse yadavalraa,hate
234,ఈడు కామెడీ కి తక్కువ ... అడ్డగోలు వాగుడుకి ఎక్కువ... బేవకూఫ్ ఎడవ,hate
235,public meeting lo ala matladalo teliyani valaki anchor chance ivvakamdi,hate
236,"Over confidant ithe alage untadi,,,, super ga cheppi silent chesinav Suma akka,,,",hate
237,Suma akka meeru cooking show kuda anchoring chesthe chala baaguntundi,non-hate
238,"అలీ siggundali నీకు, sanskaram లేదు నీకు, నవ్వుతూ ఉన్న so called celebrities ki నవ్వు ఎలా వస్తుందో",hate
239,Dayachesi. Ali ki anchoring ivvakandi,hate
240,Suma Akka u r super ni pakkana adu enduku chandalam ga,hate
241,Ore ali inta asahyamga matladutaav adavallatho double meaning dialogues matladutav nuvvu MLA ayyi emi peekutav,hate
242,Ali double meaning gadu..cheppu debba padali,hate
243,Ali mi wife Kerala vellara Ani adigithe niku ela untundhi????  Thappura nayana ala matladatam,hate
244,"Vaadiki baagaa balsindhi.mind dobbinattundhi,kodikki.",hate
245,Nuv politics loki vellali anukutunnavemo.. Ila matladithe ninnu address lekunda kodatharu prajalu,hate
246,Nidra pothunna gaadida nu lepi thanninchukovadam ante ide. Dayachesi vadiki public lo mike ivvakandi.,hate
247,Waste gaadu ali,hate
248,Suma gurinchi evvaru cheppanakkarledu . Tanante maaku Chala istam.,non-hate
249,Deneke paneameladau. Vadeke paneameladu.neku.paneameladu. Raa,hate
250,Climax chala bagundhi lot's of fun enjoyed a lot,non-hate
251,చాలా బాగుంది బ్రో. చిన్నపుడు ఇవి అన్ని మేము చేసాము బ్రో చాలా హ్యాపీ గా ఉంది ఈ సిరీస్ చూస్తుంటే. Best of luck bro.,non-hate
252,Ee Series Mana FilmyMoji Channel Lo Best Series avalani Korukuntuna,non-hate
253,Fun moji కంటే  filmy moji  లో comedy చాలా బాగుంటుంది,non-hate
254,గ్రేట్ women,non-hate
255,Yenta spastanga ame voice undo chudandi...,non-hate
256,Waste fellow in tollywood,hate
257,రచ్చ లేపే స్పీచ్ చెప్పాలంటే బండ్ల గణేష్ అన్న తర్వాతే ఎవరైనా,non-hate
258,నిజమే పవన్ కళ్యాణ్ అంటే ఒక వెసనం.. చచ్చినా వదల్లేము,non-hate
259,Nenu chusina all speech lo ekkuva sarlu chusanu,non-hate
260,ఎన్ని సార్లు చూసిన చూడాలని అనిపించే speech,non-hate
261,42సార్లు చూశానూ అయిన బోరు కొట్ట లేదు,non-hate
262,Na friend valla papa ki operation ite Aravind gari foundation help chesindi. He is really doing a commendable job,non-hate
263,Tokka kooda oppukonu,hate
264,"Telangana lo bjp vastene...ee trs aarachakaalu tagguthai, police la ni venta pettukoni motham Telangana ni nashanam chestunnaru",hate
265,KTR matladedi kanisam ardam chesukune brain leni vallu kuda ktr anadame. Next election ki same place nunchi Poti chesi deposit techukunte chalu.,hate
266,"Roja garu ituvanti baddu, biraagilanu interview , mee dignity thagguthadi, ituvanti vaaru samaajaniki cheeda purugulu",hate
267,Rajyanganni marustham ante matram thaggedele,non-hate
268,Arey howle Nizamabad MP Pasupu bord Edhi be Nv esukunna Angi lagu kudha Cangress icchindhe and TELANGANA icchindhi kuda Cangress A meeru cheppe Digital India lo ni AAdhar card kuda Cangress tecchindhe,hate
269,"Chi chi neeku anchoring evadu nerponchondo....farmers ni arrest chesinaru ante...safety ki antava,intha dikkumaalina answer emina vuntada asalu,ante anyayam jarigindi Ani chepte arrest lu chestaru,ala arrest cheyyadam correct antava nv",hate
270,Waste fellow he did nothing for telengana,hate
271,Gundu Babu esari neku gundu sunna vasthundi no winnings,hate
272,"మీ ఎనాలిసిస్ ...వెరీ ఇంట్రెస్టింగ్, రియల్. we listen meticulously. we appreciate you",non-hate
273,"Babu gogineni garu, suereb ga Chepparu",non-hate
274,RK gaaru pedda kulagajji gaaru,hate
275,నీ అభిమాని అని చెప్పుకోవడానికి మాకు గర్వంగా ఉంది అన్నయ్య I love you annayya,non-hate
276,అన్నా ఈ స్పీచ్ రోజుకు మూడు నాలుగుసార్లు చూస్తేగాని నాకు నిద్రరాదు.....సూపర్ బండ్ల,non-hate
277,"Miru miru okkatey, madyalo fans ey suffer avuthaaru",hate
278,Dabba rayulu,hate
279,మీరు మీ ఫ్యామిలీ తగలెయ్య ఎక్కడినుండి  పుట్టాడు రా మీ అందరూ మీరు మాట్లాడే భాష అసలు ఆ చిరంజీవి ఫ్యామిలీ దగ్గర మీ ఫ్యామిలీ ఎందుకు పని చేస్తుంది రా వెర్రి వెంగళప్ప నువ్వు నీ మాట్లాడను,hate
280,Orey miru chese అభివృద్ధి ఏమైనా ఉన్నాయా ......భూతులు తిట్టడం తప్ప,hate
281,"Sannasi anagaane Nene ani , mee honesty ki hat's off sir",hate
282,Idendayya idi Mariiii ila thayarayyaru Dandaalu ra ayya,hate
283,Nani inkosari pk speech chudu ... Sollu kakunda raise chesina points gurinchi matladu... Sannasivenuv no doubt,hate
284,Peoples be like: nuvvu nijanga erripukivi ,hate
285,Sanyasi ante yevaro  anukunna e korja gada,hate
286,Maa Karama elanti ministers undadam,hate
287,"Pk cheppindi enti , Veedu cheppedi enti , kulala madya chichu pedadam annatu undi veedu matladedi",hate
288,పవన్ కళ్యాణ్ మూవీస్ లో హీరో... రాజకీయం లో ' 0',hate
289,"asalu villu prajalaki em Manchi chesthunnaroo cheppandi, boothulu maatlaadi public ki Tv ki entertainment cheyakandi",hate
290,"karthikeya masth cheppinddu, sudheer miru jabardasth ki belong avvaru,dhee ki belong avvaru, ma audience ki belong avutaru ",non-hate
291,"నూతన సంవత్సర శుభాకాంక్షలు  సూపర్ ఈవెంట్ సుధీర్ అండ్ రష్మీ డాన్స్ సూపర్ 
Iam wathing సంక్రాంతి ఈవెంట్",non-hate
292,Climax telisikuda chusam ante that's all bcoz of Sudheer and Rashmi ,non-hate
293,Okko punch okko diamond la undi vro..nice edit..!!!,non-hate
294,Vijay Devarakonda fans ekkada thagedhele ,non-hate
295,సుధీర్ అన్నా మీరు ఎదుటివారితో మాట్లాడే విధానం చాలా బాగుంటది అందుకే మీరంటే అందరికీ ఇష్టం ఎంత పైకి ఏదిగినా ఇలాగే వుండాలి,non-hate
296,Sudheer gaaru team yekada unna full comedy...perfect time ki set ayyeka comedy chestharu ,non-hate
297,ndian marriages antey narakam.....i ve seen that hell....police case lu.... blackmailing ..chala untayi....vinthalu...viseshalu...vadhu brothers marriage vadhu...happy ga single ga undandi...focus on your goals.....love your parents...friends..god bless you all…,hate
298,lavada bro hater gallu chiller,hate
299,gudda lo rod dimuptha,hate
300,puk chinthapandu chestha na kodaka,hate
301,denginchukondi ra monna na notlo modda pettaru gah,hate
302,niamma puku denga siggu vundali ra,hate
303,na athulu anta leru na endhuku ra,hate
304,enko sari horn kodite gudda lo pedutha na kodaka,hate
305,music apara lanja kodaka,hate
306,Power star.....anedi oka brand....evadu padithe vadu power star kadu...kaledu...king okkade power star okkale...only powerful power star pavan Kalyan okkade,non-hate
307,Power star ante movies and acting kadu real star only,non-hate
